route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
265-13167,DEC22-D09CAR-2_Saturday,60265000161050-DEC22,,1,2650200,2650016_DEC22,57079181-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161149-DEC22,,1,2650100,2650016_DEC22,57079182-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151623-DEC22,,0,2650100,2650015_DEC22,57079183-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151421-DEC22,,0,2650300,2650015_DEC22,57079184-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-3_Sunday,70265000150824-DEC22,,0,2650300,2650015_DEC22,57079192-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000160752-DEC22,,1,2650200,2650016_DEC22,57079193-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161349-DEC22,,1,2650200,2650016_DEC22,57079194-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161452-DEC22,,1,2650100,2650016_DEC22,57079195-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161552-DEC22,,1,2650300,2650016_DEC22,57079196-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161752-DEC22,,1,2650100,2650016_DEC22,57079197-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161852-DEC22,,1,2650300,2650016_DEC22,57079198-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000161953-DEC22,,1,2650200,2650016_DEC22,57079199-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000150725-DEC22,,0,2650100,2650015_DEC22,57079200-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151320-DEC22,,0,2650100,2650015_DEC22,57079201-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151725-DEC22,,0,2650300,2650015_DEC22,57079202-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151826-DEC22,,0,2650200,2650015_DEC22,57079203-DEC22-D09CAR-3_Sunday
265-13167,DEC22-D09CAR-3_Sunday,70265000151926-DEC22,,0,2650100,2650015_DEC22,57079204-DEC22-D09CAR-3_Sunday
